employee_id, employee_type, first_name, last_name, email, phone_num, address, start_date
001,nurse,Yanbo,Dai,ydai2@wpi.edu,0000000001,100 institute Rd,2022-02-02
002,doctor,Yasar,Idikut,yidikut@wpi.edu,0000000002,Area 51,2022-02-03
003, aide, Alex, Sun, asun@wpi.edu, 0000000003, Smart World,2022-02-04
004,custodian,The,Rock,rock@wpi.edu,0000000002,Ethans Discord,2022-02-03
005, security, Brendan, King, bking2@wpi.edu, 0000000003, Smart World 420,2022-02-04
006,religious,Ethan,Schrim,jeschrim@wpi.edu,0000000002,Faraday Hall,2022-02-03
007,maintenance,Robbie,Eskridge,rceskridge@wpi.edu,2105529015,Covid land,2022-02-20
008,laundry,Robert,Eskridge,rceskridge@wpi.edu,2105529015,Covid land,2022-02-20
009,language,John,Schrim,jeschrim@wpi.edu,0000000010,Yabba Da Bado,2022-02-19
010,food,Japanese,Beetle,superDuper@wpi.edu,0000000020,Yabba Da Bado,2022-02-18
011,courier,Robin,Banks,notACrook@wpi.edu,0000000030,Prison,2022-02-19
012,admin,Chad,chadingson,chadchadinson@wpi.edu,0000000040,SheeshVille,2022-02-21
013,staff,Curve,Ball,curveBall@wpi.edu,0000000050,SheeshVille,2022-02-21
014,admin,Loosh,Leech,urug@wpi.edu,0000000060,SheeshVille,2022-02-21
015,admin,Shaggy,Of The Machine,420Man@wpi.edu,0000000070,Coolsville,2022-02-21
016,admin,Scooby,DoobyDoo,scoobSnack@wpi.edu,0000000080,CoolsVille,2022-02-10
017,admin,Bill,Nye,billNye@wpi.edu,0000000090,Space,2022-02-21
018,admin,Tom,Cruise,cruisinForBruisin@wpi.edu,0000000100,Some Castle,2022-02-21
019,admin,Ali,Campbell,britain@wpi.edu,0000000200,Some Castle,2022-02-22
020,admin,Obama,Obama,obama@wpi.edu,0000000300,Brazil,2022-02-24
021,admin,Liz,Ma,ligma@wpi.edu,0000000400,Hell,2022-02-21
022,admin,Owen,Money,debt@wpi.edu,0000000500,The FDA,2022-02-21
023,admin,Helen,Highwater,hellAnd@wpi.edu,0000000600,6th grade,2022-02-21
024,admin,Jeans,Mcgee,jmacccc@wpi.edu,0000000700,Hell,2022-02-21
025,admin,Tom,Brady,goat@wpi.edu,0000000800,Super Bowl,2022-03-28
026,admin,Ryan,Dieselman,rddieselman@wpi.edu,7814394519,Alden,2022-02-22
027,nurse,Saoirse,Bailey,cs3733.teama.1@gmail.com,7814394519,Alden,2022-02-22
028,doctor,Ottilie,Wicks,cs3733.teama.2@gmail.com,7814394519,Alden,2022-02-22
029,aide,Sohail,Dyer,cs3733.teama.3@gmail.com,7814394519,Alden,2022-02-22
030,staff,Anderson,Dawson,cs3733.teama.4@gmail.com,7814394519,Alden,2022-02-22
031,custodian,Joyce,Fuller,cs3733.teama.5@gmail.com,7814394519,Alden,2022-02-22
